STATION,LINENAME,AM_ENTERS,AM_EXITS,PM_ENTERS,PM_EXITS
CHAMBERS ST,123,977.0,4046.0,21031.0,17929.0
CHAMBERS ST,ACE23,3005.0,8088.0,27050.0,16564.0
CHAMBERS ST,JZ456,642.0,2516.0,13752.0,14067.0
CHAUNCEY ST,JZ,3605.0,410.0,3064.0,1452.0
CHRISTOPHER ST,1,1624.0,5563.0,14921.0,11011.0
CHURCH AV,25,14828.0,986.0,9459.0,2172.0
CHURCH AV,BQ,9285.0,1593.0,14511.0,12033.0
CHURCH AV,FG,4952.0,941.0,8130.0,5154.0
CITY / BUS,1,19451.0,3672.0,9334.0,17619.0
CITY HALL,NRW,181.0,807.0,7073.0,3487.0
CLARK ST,23,734.0,600.0,4929.0,2495.0
CLASSON AV,G,1567.0,729.0,4820.0,3447.0
CLEVELAND ST,J,5150.0,924.0,2501.0,3418.0
CLINTON-WASH AV,C,1317.0,886.0,5722.0,3996.0
CLINTON-WASH AV,G,3354.0,203.0,5602.0,710.0
CONEY IS-STILLW,DFNQ,13607.0,4937.0,12497.0,11359.0
CORTELYOU RD,BQ,3499.0,218.0,5159.0,2049.0
CORTLANDT ST,RNW,5259.0,9029.0,19702.0,13246.0
COURT SQ,7,661.0,3306.0,3513.0,3574.0
COURT SQ,EMG,1699.0,4101.0,11642.0,9852.0
COURT SQ-23 ST,EMG,1092.0,1441.0,5589.0,1590.0
CRESCENT ST,JZ,8213.0,1198.0,3572.0,5345.0
CROWN HTS-UTICA,34,16771.0,2660.0,21823.0,14005.0
CYPRESS AV,6,3933.0,2708.0,4164.0,2317.0
CYPRESS HILLS,J,1477.0,241.0,1085.0,735.0
DEKALB AV,BDNQR,3548.0,1915.0,20905.0,7888.0
DEKALB AV,L,6019.0,420.0,9863.0,2492.0
DELANCEY/ESSEX,FJMZ,11395.0,10759.0,28235.0,17522.0
DITMAS AV,F,5369.0,651.0,3628.0,1637.0
DYCKMAN ST,1,3478.0,493.0,7293.0,2824.0
DYCKMAN ST,A,8185.0,96.0,6530.0,206.0
E 143/ST MARY'S,6,768.0,1880.0,1617.0,1072.0
E 149 ST,6,7071.0,2532.0,5179.0,4458.0
E 180 ST,25,12593.0,1861.0,6190.0,5827.0
EAST 105 ST,L,6436.0,2451.0,3160.0,3073.0
EAST BROADWAY,F,2475.0,1597.0,13942.0,5603.0
EASTCHSTER/DYRE,5,9753.0,2404.0,3463.0,4290.0
EASTN PKWY-MUSM,23,959.0,425.0,3781.0,3094.0
ELDER AV,6,11422.0,1837.0,5893.0,5284.0
ELMHURST AV,MR,7959.0,340.0,296460133.0,1940778205.0
EUCLID AV,AC,7664.0,931.0,9538.0,2686.0
EXCHANGE PLACE,1,15054.0,12734.0,17355.0,11887.0
FAR ROCKAWAY,A,4504.0,1453.0,3784.0,3219.0
FLATBUSH AV-B.C,25,29245.0,3193.0,20839.0,12979.0
FLUSHING AV,G,2639.0,3028.0,3389.0,2776.0
FLUSHING AV,JM,4825.0,2513.0,10239.0,4790.0
FLUSHING-MAIN,7,31356.0,8331.0,46577.0,34592.0
FORDHAM RD,4,7053.0,501.0,10547.0,1958.0
FORDHAM RD,BD,8185.0,915.0,10143.0,4241.0
FOREST AVE,M,6814.0,688.0,3150.0,2677.0
FOREST HILLS 71,EFMR,31689.0,4103.0,24103.0,14382.0
FRANKLIN AV,2345S,6328.0,1162.0,14126.0,5649.0
FRANKLIN AV,ACS,4470.0,2992.0,6058.0,6578.0
FRANKLIN ST,1,1264.0,2355.0,7480.0,4473.0
FREEMAN ST,25,6674.0,1385.0,4562.0,3222.0
FRESH POND RD,M,10228.0,1185.0,4228.0,5465.0
FT HAMILTON PKY,D,4471.0,1025.0,4389.0,2893.0
FT HAMILTON PKY,FG,6955.0,372.0,4922.0,2083.0
FT HAMILTON PKY,N,5299.0,152.0,2145.0,416.0
FULTON ST,2345ACJZ,18341.0,28405.0,86028.0,48902.0
FULTON ST,ACJZ2345,3211.0,6092.0,39277.0,16351.0
FULTON ST,G,1032.0,728.0,5684.0,3813.0
GATES AV,JZ,7030.0,813.0,7260.0,2424.0
GRAHAM AV,L,2131.0,1615.0,8121.0,4522.0
GRAND ARMY PLAZ,23,1128.0,258.0,6225.0,2398.0
GRAND ST,BD,1864.0,3031.0,24197.0,17960.0
GRAND ST,L,1924.0,1930.0,6280.0,4356.0
GRAND-NEWTOWN,MR,12594.0,1116.0,15397.0,8075.0
GRANT AV,A,4793.0,628.0,5241.0,3883.0
GRD CNTRL-42 ST,4567S,39361.0,72701.0,150373.0,128449.0
GREENPOINT AV,G,2440.0,2093.0,7826.0,5714.0
GROVE STREET,1,26497.0,5514.0,12644.0,19132.0
GUN HILL RD,25,9274.0,3892.0,7762.0,7369.0
GUN HILL RD,5,6431.0,294.0,4425.0,1164.0
HALSEY ST,J,7278.0,820.0,5956.0,2283.0
HALSEY ST,L,5003.0,443.0,8944.0,2904.0
HARLEM 148 ST,3,2766.0,423.0,4535.0,3474.0
HARRISON,1,16666.0,1379.0,3631.0,10328.0
HEWES ST,JM,1814.0,496.0,2891.0,1269.0
HIGH ST,AC,892.0,2247.0,8389.0,10522.0
HOUSTON ST,1,1642.0,5709.0,18170.0,9289.0
HOWARD BCH JFK,A,2545.0,2294.0,3535.0,6195.0
HOYT ST,23,571.0,1540.0,8111.0,6766.0
HOYT-SCHER,ACG,1254.0,2107.0,11437.0,9335.0
HUNTERS PT AV,7,6792.0,6225.0,4873.0,3895.0
HUNTS POINT AV,6,13635.0,6555.0,10649.0,9139.0
INTERVALE AV,25,4000.0,1736.0,3964.0,3602.0
INWOOD-207 ST,A,11800.0,1149.0,8164.0,3854.0
JACKSON AV,25,6715.0,492.0,6470.0,1165.0
JAMAICA 179 ST,F,22470.0,1836.0,14509.0,6132.0
JAMAICA CENTER,EJZ,33067.0,5697.0,30805.0,24761.0
JAMAICA VAN WK,E,6515.0,3012.0,4658.0,4819.0
JAY ST-METROTEC,ACF,6390.0,7048.0,44998.0,23313.0
JAY ST-METROTEC,R,329.0,546.0,4141.0,3586.0
JEFFERSON ST,L,2418.0,427.0,6053.0,1243.0
JFK JAMAICA CT1,E,7238.0,3349.0,15363.0,9532.0
JKSN HT-ROOSVLT,EFMR7,25779.0,6199.0,43639.0,29656.0
JOURNAL SQUARE,1,96546.0,13186.0,19360.0,31175.0
JUNCTION BLVD,7,19452.0,1965.0,15503.0,11153.0
JUNIUS ST,3,1094.0,638.0,2012.0,1916.0
KEW GARDENS,EF,60288.0,19183.0,26251.0,35751.0
KINGS HWY,BQ,9735.0,1580.0,16751.0,13208.0
KINGS HWY,F,5796.0,1176.0,3767.0,3904.0
KINGS HWY,N,5600.0,405.0,2062.0,2044.0
KINGSBRIDGE RD,4,12464.0,2142.0,10498.0,4753.0
KINGSBRIDGE RD,BD,13118.0,1982.0,7352.0,5445.0
KINGSTON AV,3,1798.0,471.0,5011.0,2963.0
KINGSTON-THROOP,C,2461.0,818.0,6265.0,3653.0
KNICKERBOCKER,M,3977.0,1457.0,4379.0,4290.0
KOSCIUSZKO ST,J,5320.0,703.0,5391.0,1525.0
LACKAWANNA,1,16846.0,1558.0,4288.0,14562.0
LAFAYETTE AV,C,2032.0,718.0,5904.0,2241.0
LEXINGTON AV/53,EM6,5325.0,28947.0,34984.0,33534.0
LEXINGTON AV/63,F,1898.0,7259.0,20177.0,24945.0
LIBERTY AV,C,3425.0,839.0,3109.0,1348.0
LIVONIA AV,L,4445.0,1454.0,2862.0,2573.0
